Status,Life_expectancy ,Adult_Mortality,Alcohol,Total_expenditure,Hepatitis_B, BMI ,Income_composition_of_resources,Schooling,Population
Developing,52.4,323,4.54,6.45,,13.7,0,3.9,133569
Developing,51.6,332,4.58,5.61,,13.3,0,3.8,12654621
Developing,51,338,4.53,5.26,,12.9,0,3.6,122931
Developing,56,344,4.56,4.85,,12.5,0,3.5,11944587
Developing,51,348,3.71,5.6,,12.2,0,3.4,1167942
Developing,59.6,288,,,94,18.7,0.406,10.6,119927
Developing,59.1,297,0.01,7.54,95,18.2,0.404,10.6,989179
Developing,58.6,33,0.01,8.3,96,17.6,0.398,10.5,96186
Developing,58,312,0.01,8.21,96,17.1,0.393,10.3,931971
Developing,57.4,321,4.16,8.58,96,16.6,0.385,9.9,94358
Developing,56.8,33,4.16,8.82,96,16.1,0.361,9.3,876693
Developing,56.2,338,4.05,6.96,94,15.7,0.336,8.6,848931
Developing,55.3,35,4.33,7.86,92,15.2,0.319,7.9,8212264
Developing,54.8,355,4.54,1.3,99,14.8,0.309,7.2,7939573
Developing,54.1,361,4.5,11.49,92,14.5,0.29,5.9,7675338
Developing,53.4,369,5.54,9.84,87,14.1,0.286,5.6,7423289
Developing,52.6,378,5.72,7.1,83,13.8,0.279,5.2,7182451
Developing,51.9,387,5.84,5.25,,13.5,0.276,4.7,6953113
Developing,51.5,387,5.98,5.15,,13.3,0.268,4.4,6741569
Developing,51.3,385,6.09,4.96,,13,0.268,4.5,6555829
Developing,58,386,6.61,4.98,,12.8,0.268,4.5,6476
Developing,53.3,397,,,83,28,,,
Developing,52.8,47,0.01,5.72,76,27.4,,,
Developing,52.3,412,3.15,5.81,8,26.8,,,
Developing,52,415,3.24,6.14,82,26.2,,,
Developing,51.7,419,3.13,6.42,62,25.6,,,
Developing,51.5,417,3.15,6.32,85,25,,,
Developing,51,426,2.92,6.41,81,24.4,,,
Developing,54,437,2.69,6.21,74,23.8,,,
Developing,49.9,443,2.58,6.35,76,23.2,,,
Developing,49.4,452,2.65,5.87,77,22.6,,,
Developing,48.7,466,3.11,5.39,76,22.1,,,
Developing,48.2,472,3.08,5.24,67,21.5,,,
Developing,48,473,3.12,4.65,63,2.9,,,
Developing,47.7,473,3.13,4.47,48,2.4,,,
Developing,47.8,467,3.15,4.85,1,19.9,,,
Developing,47.9,461,3.45,6,,19.4,,,
Developing,73.3,114,,,96,31.3,0.646,13.5,532913
Developing,73,117,0.01,4.76,97,3.5,0.643,13.5,526437
Developing,72.8,12,0.01,4.29,94,29.7,0.643,13.6,5216
Developing,72.7,121,0.01,4.61,94,29,0.636,13.2,513979
Developing,72.6,122,5.07,4.6,9,28.2,0.632,13.1,5867
Developing,72.5,123,4.75,4.83,98,27.5,0.627,12.7,52384
Developing,72.4,124,4.45,4.24,98,26.8,0.621,12.4,496963
Developing,72.4,124,4.16,3.96,98,26.2,0.615,12.2,491723
Developing,72.3,126,5.28,4.3,96,25.5,0.602,11.9,486438
Developing,72.1,129,4.25,5.11,95,24.9,0.596,11.9,48795
Developing,71.8,134,4.26,4.86,93,24.3,0.582,11.2,474567
Developing,71.4,14,4.19,5.6,91,23.7,0.574,11.1,467664
Developing,71.1,144,4.16,5,66,23.2,0.572,11.3,46147
Developing,77,148,3.82,5.17,4,22.6,0.569,11.3,45216
Developing,73,152,3.81,5.19,,22.1,0.562,11,443716
Developing,69.9,155,3.49,4.81,,21.5,0,11.3,43579
Developing,68.7,174,,,89,19.6,0.558,10.9,15517635
Developing,68.3,179,0.01,5.68,88,18.9,0.553,10.9,152779
Developing,67.8,183,0.01,5.93,83,18.2,0.546,10.8,1522692
Developing,67.4,186,0.01,6.24,86,17.6,0.54,10.7,14776866
Developing,67,19,2.12,5.64,88,17,0.533,10.7,14537886
Developing,66.6,192,2.2,5.95,89,16.4,0.519,10.6,143874
Developing,66.1,195,2.13,6.36,92,15.9,0.52,10.5,14928
Developing,65.6,199,2.24,5.55,91,15.3,0.511,10.5,138859
Developing,65,24,2.08,3.75,82,14.8,0.495,10.3,13676693
Developing,64.1,216,2.03,4.48,8,14.3,0.483,10.1,13474489
Developing,62.9,234,1.99,5.84,,13.9,0.47,10,132721
Developing,61.5,253,1.38,6.43,,13.5,0.458,9.7,1363377
Developing,63,268,1.44,6.74,,13.1,0.445,9.3,12853124
Developing,59.3,273,1.43,5.95,,12.8,0.427,8.2,12634729
Developing,58.5,273,1.71,5.7,,12.4,0.412,7.6,1242473
Developing,57.7,274,1.51,5.87,,12.1,0.401,7.2,12152354
Developing,57.3,357,,,84,29,0.514,10.4,22834522
Developing,56.7,366,0.01,4.1,87,28.4,0.507,10.4,2223994
Developing,56.4,364,0.01,4.29,89,27.8,0.501,10.4,21655715
Developing,55.9,369,0.01,4.34,85,27.2,0.496,10.4,2182383
Developing,55.6,371,6.19,3.96,82,26.6,0.486,10,252447
Developing,55.3,37,6.15,5.28,84,26,0.48,9.7,1997495
Developing,54.8,373,5.89,5.7,8,25.4,0.473,9.2,19432541
Developing,54.2,382,5.9,5.18,84,24.9,0.466,8.8,18978
Developing,53.6,395,5.44,4.76,82,24.4,0.456,8,18395389
Developing,53.3,394,5.22,4.69,81,23.8,0.456,8.2,17899562
Developing,52.8,4,5.03,4.75,79,23.3,0.456,8.3,1742795
Developing,52.1,412,4.71,4.73,,22.8,0.455,8.2,1695981
Developing,51.8,412,4.64,4.97,,22.3,0.452,8.1,16513822
Developing,51.6,47,4.58,4.86,,21.8,0.452,8.4,1684886
Developing,51.5,41,4.43,4.7,,21.3,0.437,7.1,15671927
Developing,51.4,394,3.91,4.48,,2.9,0.433,6.9,15274234
Developing,82.2,64,,,55,67,0.919,16.3,3584861
Developing,82,65,8.1,1.45,55,66.4,0.912,15.9,35544564
Developing,81.8,67,8.2,1.67,55,65.8,0.909,15.9,35155451
Developing,81.6,68,8.3,1.78,7,65.3,0.907,15.9,3475545
Developing,81.5,68,8.2,1.82,7,64.7,0.903,15.9,3434278
Developing,81.2,7,8.4,11.2,56,64.1,0.898,15.9,345274
Developing,81,72,8.4,11.17,42,63.6,0.898,15.9,33628571
Developing,87,74,8.3,1.3,28,63,0.897,15.8,33245773
Developing,85,74,8.3,9.83,14,62.5,0.894,15.8,32887928
Developing,85,75,8.2,9.75,14,61.9,0.891,15.8,325755
Developing,81,76,8,9.57,14,61.3,0.886,15.8,32312
Developing,80,77,7.8,9.56,14,6.6,0.881,15.8,31995
Developing,79.7,78,7.7,9.54,14,6,0.877,15.8,31676
Developing,79.5,79,7.7,9.37,,59.3,0.872,15.8,31362
Developing,79.4,8,7.6,9.1,,58.5,0.867,15.8,31819
Developing,79.1,82,7.6,8.67,,57.8,0.864,15.9,37697
Developing,52.5,397,,,47,22.7,0.347,7.1,45461
Developing,58,437,0.01,4.2,47,22.1,0.345,7.1,4515392
Developing,49.9,451,0.01,3.82,23,21.6,0.37,7.1,4499653
Developing,53,439,0.01,3.62,47,21.2,0.366,7.1,449416
Developing,49.8,443,1.66,3.73,47,2.7,0.361,6.8,4476153
Developing,49.2,446,1.67,3.9,45,2.2,0.352,6.6,4448525
Developing,48.6,453,1.56,3.58,42,19.8,0.345,6.4,44423
Developing,47.6,477,1.52,4.3,,19.4,0.338,6.3,4345386
Developing,46.8,495,1.5,4.4,,19,0.33,6.2,42758
Developing,46.3,56,1.54,3.99,,18.6,0.323,6,421758
Developing,45.9,511,1.5,4.29,,18.2,0.319,5.9,412791
Developing,45.7,512,1.5,4.1,,17.9,0.315,5.7,45536
Developing,45.7,51,1.49,4.31,,17.5,0.316,5.6,3981665
Developing,45.6,58,1.47,4.16,,17.2,0.315,5.4,397612
Developing,45.6,54,1.52,3.95,,16.8,0.314,5.3,383223
Developing,46,49,1.51,4.24,,16.5,0.312,5.2,3754986
Developing,53.1,356,,,46,19.1,0.394,7.3,149413
Developing,52.6,362,0.01,3.62,37,18.7,0.39,7.3,13569438
Developing,52.2,366,0.64,3.42,39,18.2,0.387,7.3,13133589
Developing,51.8,367,0.62,3,4,17.9,0.381,7.3,1275135
Developing,51.6,365,0.56,3.17,33,17.5,0.37,6.7,12288651
Developing,51.2,364,0.5,2.95,39,17.1,0.36,6.7,1188722
Developing,57,37,0.47,3.31,24,16.7,0.343,6.3,1152786
Developing,49.6,394,0.45,2.92,17,16.4,0.338,6,11133861
Developing,49.4,394,0.42,3.35,,16.1,0.306,5.7,177578
Developing,48.5,414,0.41,3.32,,15.7,0.303,5.5,1421597
Developing,48.6,46,0.42,3.91,,15.4,0.306,5.6,1679
Developing,48.5,45,0.34,5.72,,15.1,0.301,5.6,97143
Developing,48.4,43,0.42,5.49,,14.8,0.284,5.4,935321
Developing,48.1,43,0.36,8.33,,14.4,0.303,5.1,91689
Developing,48,4,0.3,6.9,,14.1,0.3,4.9,866312
Developing,47.6,44,0.25,6.28,,13.9,0,4.7,8342559
Developing,85,82,,,97,63.8,0.845,16.3,17762681
Developing,83,83,7.16,7.79,95,63.1,0.841,16.2,17613798
Developing,81,84,7.2,7.53,9,62.5,0.831,15.6,17462982
Developing,79.9,84,6.76,7.24,9,61.8,0.826,15.5,1739746
Developing,79.8,86,7.26,7,94,61.2,0.82,15.4,17153357
Developing,79.1,89,7.93,6.97,92,6.6,0.815,15.2,16993354
Developing,79.3,91,7.67,7.39,94,59.9,0.816,15.3,16829442
Developing,79.6,88,7.31,6.87,95,59.3,0.804,15.2,16661942
Developing,78.9,9,7.39,6.35,92,58.7,0.797,14.8,16491687
Developing,78.9,91,7.33,6.18,95,58.1,0.796,14.9,16319792
Developing,78.4,93,7.57,6.69,,57.4,0.79,14.6,1614764
Developing,78,97,6.32,6.93,,56.8,0.781,14.3,15973778
Developing,77.9,1,6.37,7.34,,56.1,0.775,14,15799542
Developing,77.8,11,6.06,6.48,,55.4,0.768,13.9,15623635
Developing,77.3,16,6.1,6.51,,54.7,0.761,13.7,15444969
Developing,77.3,13,6.24,6.4,,54,0.755,13.5,15262754
Developing,76.1,85,,,99,32.9,0.734,13.5,137122
Developing,75.8,86,5.78,5.55,99,31.9,0.723,13.1,136427
Developing,75.6,88,5.79,5.39,99,3.9,0.713,12.7,135738
Developing,75.4,89,5.74,5.26,99,3,0.703,12.4,135695
Developing,75.2,91,5.63,5.3,99,29,0.7,12.8,134413
Developing,75,92,5.75,4.89,99,28.1,0.691,12.5,133775
Developing,74.9,93,4.88,5.8,99,27.3,0.682,12.2,133126
Developing,74.5,97,4.27,4.59,95,26.5,0.672,11.9,1324655
Developing,74.4,96,3.88,4.32,92,25.7,0.659,11.4,1317885
Developing,74.2,98,3.28,4.52,91,24.9,0.646,11,13112
Developing,73.9,99,2.92,4.66,84,24.1,0.634,10.6,13372
Developing,73.5,11,3.04,4.72,79,23.4,0.622,10.2,129675
Developing,73.1,13,2.96,4.82,75,22.6,0.61,9.9,12884
Developing,72.7,16,2.91,4.79,7,21.9,0.6,9.7,1284
Developing,72.2,11,2.84,4.56,65,21.2,0.592,9.6,127185
Developing,71.7,115,3.06,4.6,6,2.5,0.583,9.5,1262645
Developing,74.8,143,,,91,57.9,0.724,13.6,48228697
Developing,74.6,144,4.38,7.2,9,57.2,0.72,13.6,47791911
Developing,74.4,145,4.41,6.84,91,56.4,0.712,13.3,47342981
Developing,74.3,143,4.44,6.93,92,55.7,0.707,13.2,46881475
Developing,74.2,144,4.37,6.64,85,55,0.7,13,4646646
Developing,73.6,15,4.28,6.76,88,54.2,0.695,12.8,4591897
Developing,73.6,15,4.34,7.1,92,53.5,0.691,12.4,45416181
Developing,73.5,146,4.45,6.62,92,52.8,0.683,12.2,4491544
Developing,73.5,144,4.66,6.25,93,52,0.675,11.9,44374572
Developing,73.1,147,4.53,6.11,93,51.3,0.669,11.5,43835722
Developing,73.1,144,4.38,5.82,93,5.5,0.658,11.1,43285634
Developing,72.8,148,4.26,5.37,89,49.8,0.658,11.3,42724163
Developing,72.4,15,4.25,5.92,92,49,0.659,11.6,42152151
Developing,71.8,163,4.45,5.67,78,48.2,0.656,11.5,41572491
Developing,71.5,165,4.43,5.96,8,47.5,0.653,11.4,498899
Developing,71.4,167,4.66,5.91,78,46.7,0.65,11.3,443958
Developing,63.5,227,,,91,24.2,0.498,11.1,777424
Developing,63.2,23,0.01,6.75,88,23.7,0.497,11.1,759385
Developing,62.9,233,0.01,6.51,88,23.2,0.49,10.9,7415
Developing,62.5,237,0.01,7.11,89,22.6,0.484,10.8,723868
Developing,62.2,241,0.12,6.1,83,22.1,0.479,10.6,76569
Developing,61.8,246,0.15,5.82,74,21.6,0.476,10.5,689692
Developing,61.3,251,0.17,3.82,83,21.1,0.465,10.3,673252
Developing,61,255,0.12,5.13,81,2.6,0.461,10.2,657229
Developing,66,259,0.16,4.93,75,2.1,0.459,10,64162
Developing,63,262,0.25,4.57,69,19.6,0.451,9.9,626425
Developing,60,266,0.24,4.32,68,19.2,0.434,9.7,611627
Developing,59.8,269,0.27,3.96,77,18.8,0,9.5,597228
Developing,59.6,271,0.26,3.65,28,18.4,0,9.2,583211
Developing,59.5,271,0.08,3.39,,18,0,8.8,569479
Developing,59.5,272,0.08,2.86,,17.6,0,8.5,555888
Developing,59.5,272,0.09,3.56,,17.3,0,8.2,542357
Developing,64.7,267,,,8,27.4,0.59,11.1,
Developing,64.2,275,0.01,5.15,9,26.8,0.581,11.1,
Developing,63.9,274,0.01,5.9,85,26.2,0.576,11.1,
Developing,63.7,273,0.01,3.98,62,25.6,0.557,10.2,
Developing,62.9,285,3.82,2.79,7,25,0.558,10.7,
Developing,62,298,3.53,2.29,74,24.5,0.548,10.5,
Developing,68,314,3.47,2.27,75,23.9,0.545,10.3,
Developing,59.4,338,2.58,2.9,73,23.3,0.527,10,
Developing,58.2,354,2.75,2.54,64,22.8,0.517,9.8,
Developing,56.9,368,2.25,2.37,,22.3,0.507,9.6,
Developing,55.3,394,2.03,2.42,,21.7,0.496,9.4,
Developing,54.1,48,2.58,2.56,,21.2,0.497,9.2,
Developing,53.2,417,2.45,2.61,,2.7,0.492,9.4,
Developing,52.6,424,2.55,2.45,,2.3,0.488,9.5,
Developing,52.7,419,2.3,2.44,,19.8,0.487,9.7,
Developing,52.9,416,2.26,2.13,,19.3,0.487,9.8,
Developing,,,0.01,3.58,98,82.8,,,
Developing,79.6,95,,,92,6.5,0.775,14.2,487852
Developing,79.5,96,3.45,9.31,91,59.5,0.768,13.9,4757575
Developing,79.4,96,3.42,9.47,94,58.5,0.762,13.7,47641
Developing,79.2,97,3.34,9.56,91,57.5,0.758,13.6,4654122
Developing,79,98,3.41,9.73,84,56.5,0.752,13.4,46474
Developing,78.1,16,3.58,9.66,89,55.5,0.749,13.3,454528
Developing,79.2,96,4.07,9.69,87,54.4,0.747,13.1,4488263
Developing,78.9,99,4.22,9.1,89,53.4,0.74,12.9,442958
Developing,78.9,93,4.2,8.37,89,52.4,0.734,12.8,4369469
Developing,78,16,4.15,7.82,88,51.4,0.727,12.6,438794
Developing,78.6,97,4.1,7.74,9,5.3,0.723,12.4,4247841
Developing,77.7,12,4.09,7.8,89,49.3,0.719,12.2,418738
Developing,78,1,4.04,8.45,86,48.3,0.715,12.1,4125971
Developing,78.3,99,4.17,8.23,94,47.3,0.712,11.9,46324
Developing,77.5,1,4.29,7.25,8,46.4,0.708,11.7,3996798
Developing,77.6,98,4.34,7.12,89,45.4,0.702,11.6,3925443
Developed,78,95,,,94,63.7,0.823,15.3,42364
Developed,77.8,97,12.14,7.8,95,63.1,0.82,15.1,4238389
Developed,77.7,97,12.39,7.83,96,62.5,0.817,14.9,4255689
Developed,77.1,14,11.49,7.8,98,61.9,0.815,14.6,4267558
Developed,77,14,12.19,7.8,97,61.3,0.808,14.5,428622
Developed,76.6,16,12.1,8.25,97,6.6,0.803,14.2,4417781
Developed,76.3,19,12.21,8.18,97,6,0.803,14.2,442978
Developed,76,116,12.06,7.7,97,59.4,0.8,14.3,443458
Developed,75.8,114,12.56,7.44,95,58.7,0.793,14.3,4436
Developed,75.9,113,11.83,6.95,,58.1,0.783,13.9,444
Developed,75.2,116,11.59,6.89,,57.5,0.777,13.6,4442
Developed,75.4,114,13.11,6.56,,56.9,0.771,13.3,4439
Developed,74.7,122,13.78,6.35,,56.3,0.765,12.9,444
Developed,74.8,124,13.39,6.19,,55.8,0.759,12.6,444
Developed,74.9,126,13.15,7.16,,55.2,0.749,12.3,444
Developed,74.7,127,12.73,7.66,,54.7,0.739,12.2,4426
Developing,79.1,92,,,99,61.4,0.773,13.9,
Developing,79,93,4.37,11.6,97,6.7,0.772,14,
Developing,78.7,96,4.18,9.48,96,59.9,0.773,14.7,
Developing,78.7,96,4.16,8.59,96,59.2,0.778,15.7,
Developing,78.8,92,4.14,1.6,96,58.4,0.78,16.5,
Developing,78,98,4.13,1.19,96,57.7,0.784,17.6,
Developing,78.1,11,4.01,11.78,96,56.9,0.782,17.7,
Developing,77.9,12,4.26,1.79,95,56.2,0.771,17.1,
Developing,78.1,14,4.13,1.42,93,55.4,0.754,16,
Developing,78,14,4.17,7.67,89,54.6,0.732,14.7,
Developing,77.2,19,4.48,9.39,95,53.8,0.719,14.2,
Developing,77.3,17,4.38,6.14,99,53,0.705,13.2,
Developing,77.4,18,4.39,6.31,99,52.1,0.694,12.9,
Developing,77.7,19,4.1,6.5,98,51.3,0.692,12.5,
Developing,76.7,115,4.04,6.27,98,5.4,0.686,12.3,
Developing,76.9,115,3.92,6.7,98,49.4,0.679,12.1,
Developed,85,52,,,97,6.3,0.854,14.3,116985
Developed,83,53,0.01,7.37,96,59.8,0.85,14,115239
Developed,81,54,9.04,7.46,96,59.2,0.85,13.8,1143896
Developed,80,56,10.55,7.44,96,58.7,0.85,13.8,113562
Developed,79.7,57,10.69,7.54,96,58.3,0.847,13.8,1124835
Developed,79.5,59,11.32,7.23,96,57.8,0.853,14.6,111267
Developed,79.3,6,10.8,7.4,96,57.3,0.849,14.1,19876
Developed,79.1,62,12.01,6.89,93,56.8,0.844,13.7,181563
Developed,78.9,63,11.56,6.5,93,56.3,0.836,13.5,163712
Developed,78.8,64,11.47,6.28,93,55.8,0.829,13.4,14559
Developed,78.7,65,11.41,6.37,88,55.3,0.826,13.5,127658
Developed,78.6,65,13.03,6.42,88,54.8,0.823,13.4,1141
Developed,78.5,66,10.62,6.83,88,54.3,0.815,13,993563
Developed,78.4,68,11.68,6.12,88,53.8,0.805,12.5,976966
Developed,78.2,69,10.16,5.78,89,53.3,0.8,12.4,96282
Developed,78.1,7,9.56,5.77,89,52.8,0.798,12.5,943286
Developed,78.8,86,,,97,66.1,,,
Developed,78.6,88,12.68,7.41,99,65.6,,,
Developed,78.2,9,12.45,7.49,99,65.1,,,
Developed,78,93,12.71,7.55,99,64.5,,,
Developed,77.8,97,12.43,7.5,99,64,,,
Developed,77.5,99,12.69,7.43,99,63.6,,,
Developed,77.1,12,13.23,7.85,99,63.1,,,
Developed,77,16,13.25,6.82,99,62.6,,,
Developed,76.8,17,13.43,6.52,99,62.2,,,
Developed,76.5,19,13.03,6.69,98,61.8,,,
Developed,75.9,114,13.19,6.93,99,61.3,,,
Developed,75.8,116,13.24,6.9,98,6.8,,,
Developed,75.2,122,13.01,7.13,92,6.4,,,
Developed,75.3,12,13.47,6.8,86,59.9,,,
Developed,75.1,123,13.36,6.42,,59.4,,,
Developed,74.7,126,13.22,6.31,,59,,,
Developing,76,139,,,96,32.9,,,
Developing,73,142,0.01,,93,32.4,,,
Developing,71,146,3.35,,93,31.8,,,
Developing,69.8,149,3.61,,96,31.3,,,
Developing,69.4,153,3.39,,94,3.8,,,
Developing,69,157,3.12,,93,3.3,,,
Developing,68.7,161,3.35,,93,29.7,,,
Developing,68.6,164,3.16,,92,29.2,,,
Developing,68.5,166,3.13,,92,28.7,,,
Developing,68.5,165,3.28,,96,28.2,,,
Developing,68.5,165,3.21,,92,27.7,,,
Developing,68.4,165,3.13,,98,27.2,,,
Developing,68.1,165,3.13,,27,26.7,,,
Developing,67.6,167,3.08,,,26.2,,,
Developing,66.6,177,2.53,,,25.7,,,
Developing,65.4,192,3.52,,,25.2,,,
Developing,59.8,258,,,81,21.6,,,
Developing,59.3,266,0.01,4.33,8,21.1,,,
Developing,58.8,272,0.01,3.89,74,2.6,,,
Developing,58.3,277,0.01,3.77,75,2.1,,,
Developing,57.9,278,1.82,3.53,74,19.6,,,
Developing,57.4,283,1.81,4.4,6,19.1,,,
Developing,56.7,292,2.13,5.61,72,18.6,,,
Developing,56.3,295,2.09,4.46,65,18.2,,,
Developing,55.7,299,1.52,3.61,7,17.8,,,
Developing,55,36,1.53,3.39,,17.3,,,
Developing,54.3,314,1.43,3.14,,16.9,,,
Developing,53.5,323,1.44,3.34,,16.5,,,
Developing,52.8,332,1.83,3.2,,16.1,,,
Developing,52.1,341,1.85,2.59,,15.7,,,
Developing,51.8,34,1.9,2.67,,15.3,,,
Developing,51.3,346,1.98,1.45,,14.9,,,
Developed,86,71,,,,58.8,0.923,19.2,5683483
Developed,84,73,9.64,1.8,,58.4,0.926,19.2,5643475
Developed,81,75,9.5,11.25,,58.1,0.924,18.7,5614932
Developed,80,76,9.26,1.98,,57.7,0.922,18.4,5591572
Developed,79.7,79,10.47,1.87,,57.4,0.91,16.9,557572
Developed,79.2,84,10.28,11.8,,57,0.906,16.8,5547683
Developed,78.9,86,10.08,11.47,,56.6,0.906,16.8,552395
Developed,78.8,88,10.7,1.18,,56.3,0.906,16.8,5493621
Developed,78.4,93,10.99,9.99,,55.9,0.904,16.7,5461438
Developed,78.1,93,11.02,9.92,,55.4,0.902,16.9,5437272
Developed,78.1,92,11.28,9.77,,55,0.897,16.6,5419432
Developed,77.7,98,11.27,9.67,,54.4,0.893,16.5,544523
Developed,77.3,11,11.54,9.51,,53.9,0.882,16.3,539574
Developed,77,14,11.34,9.33,,53.3,0.875,16.6,5375931
Developed,77,12,11.56,9.1,,52.8,0.862,16.2,5358783
Developed,76.9,12,11.69,8.7,,52.2,0.86,16.5,5339616
Developing,63.5,241,,,84,35,0.47,6.3,927414
Developing,63,252,0.38,1.57,78,34.4,0.467,6.3,912164
Developing,62.7,256,0.53,9.14,82,33.8,0.464,6.3,896688
Developing,62.2,263,0.52,8.95,81,33.2,0.46,6.3,881185
Developing,61.8,268,0.39,8.71,87,32.7,0.451,5.9,865937
Developing,61.3,273,0.44,8.84,88,32.2,0.441,5.5,851146
Developing,69,279,0.49,8.37,89,31.7,0.436,5.3,83684
Developing,62,289,0.49,8.5,88,31.3,0.427,5,822934
Developing,59.8,296,0.45,7.72,25,3.9,0.416,4.5,8942
Developing,59.1,39,1.02,7.5,,3.6,0.405,4.3,79628
Developing,58.6,318,1.23,7.21,,3.2,0.396,4,783254
Developing,58.1,326,1.18,6.76,,29.8,0.388,3.7,77752
Developing,58,325,1.02,6.22,,29.4,0.378,3.5,758615
Developing,57.9,322,1.03,5.45,,29,0.372,3.3,746221
Developing,57.7,323,0.95,5.37,,28.6,0.363,2.9,732711
Developing,57.4,325,1.34,5.75,,28.2,0.361,2.9,717584
Developing,,,0.01,5.58,96,58.4,0.721,12.7,
Developing,73.9,152,,,81,58.9,0.718,13.2,1528394
Developing,73.6,154,5.92,4.38,89,57.9,0.712,13.2,145844
Developing,73.4,157,5.93,4.12,8,56.8,0.709,13.2,1281296
Developing,72.1,174,5.93,4.26,74,55.8,0.706,13.1,115495
Developing,73.1,16,5.91,4.22,8,54.7,0.703,13,12795
Developing,72.7,166,6.02,4.6,83,53.6,0.697,12.9,9897985
Developing,73.6,157,6.05,4.41,8,52.6,0.695,12.9,9767758
Developing,73.3,161,6.12,4.2,81,51.5,0.692,12.8,963652
Developing,72.9,164,6.05,4.34,81,5.4,0.685,12.7,954353
Developing,72.3,178,6.2,4.34,84,49.3,0.677,12.6,9371338
Developing,69.7,28,5.71,4.26,87,48.2,0.668,12.6,9237566
Developing,69.3,214,5.16,4.28,82,47.2,0.666,12.5,912998
Developing,73,22,6.32,5.53,79,46.1,0.665,12.4,896776
Developing,71.4,189,6.43,5.79,63,45.1,0.66,12.3,8832285
Developing,71.2,188,6.13,5.59,66,44.1,0.656,12.3,8697126
Developing,72,176,6.58,5.9,68,43.1,0.651,12.2,8562622
Developing,76.2,118,,,78,54.2,0.739,14,16144368
Developing,76,121,3.82,9.16,83,53.5,0.737,14,1593112
Developing,76,121,3.77,7.29,87,52.8,0.725,13.4,15661547
Developing,75.5,127,3.92,6.48,88,52.1,0.717,13.3,15419666
Developing,75.3,131,3.99,5.92,88,51.4,0.71,13.2,15177355
Developing,75,134,3.95,5.9,9,5.7,0.703,13.1,1493469
Developing,75.1,137,3.87,5.58,91,5,0.702,13.1,14691275
Developing,74.6,139,3.76,5.66,93,49.3,0.698,13,14447562
Developing,74.7,14,3.63,5.94,94,48.6,0.696,12.9,1425453
Developing,74.4,144,3.52,5.86,96,47.9,0.693,12.8,1396748
Developing,74.2,151,3.54,5.87,92,47.2,0.688,12.8,13735233
Developing,74.4,148,3.65,6.22,88,46.5,0.682,12.7,1359647
Developing,74.4,151,3.69,6.46,82,45.8,0.679,12.6,1328961
Developing,73.6,157,3.88,4.62,75,45.1,0.675,12.5,13726
Developing,73.4,158,4.13,3.86,69,44.3,0.67,12.4,12852755
Developing,72.8,163,3.99,3.38,36,43.6,0.668,12.4,12628596
Developing,79,159,,,93,61.1,0.688,13.1,
Developing,78,161,0.21,5.64,94,6.2,0.686,13.1,
Developing,79,159,0.21,5.46,97,59.4,0.681,12.8,
Developing,72,165,0.23,5.29,93,58.6,0.673,12.4,
Developing,74,168,0.22,5.4,96,57.8,0.671,12.4,
Developing,70,173,0.22,4.8,97,57,0.665,12.2,
Developing,69.9,174,0.21,5.1,97,56.2,0.659,12,
Developing,69.8,172,0.24,4.82,97,55.5,0.651,11.9,
Developing,69.7,171,0.21,4.95,98,54.8,0.644,11.7,
Developing,69.5,175,0.18,5.24,98,54.2,0.636,11.5,
Developing,69.4,174,0.16,5.6,98,53.5,0.629,11.4,
Developing,69,176,0.16,5.21,97,52.9,0.623,11.2,
Developing,68.6,178,0.15,5.41,98,52.3,0.621,11.3,
Developing,68.7,177,0.15,5.97,97,51.8,0.617,11.2,
Developing,68.6,177,0.14,5.75,99,51.2,0.612,11.1,
Developing,68.8,171,0.14,5.55,98,5.7,0.606,11,
Developing,73.5,178,,,91,56.1,0.678,13.2,6312478
Developing,73.3,181,2.52,6.77,93,55.4,0.676,13.2,6281189
Developing,73,184,2.42,6.95,92,54.7,0.675,13.2,625777
Developing,73,181,2.48,6.7,92,54.1,0.67,13.2,6221246
Developing,72,197,2.37,6.81,89,53.4,0.666,13,619256
Developing,72,191,2.36,6.91,89,52.8,0.662,12.9,6164626
Developing,71.4,23,2.55,6.83,91,52.1,0.662,12.8,6137276
Developing,71.7,194,2.68,6.21,98,51.4,0.659,13.4,61131
Developing,71.2,23,2.83,6.32,99,5.8,0.657,12.9,683475
Developing,75,211,2.77,6.68,96,5.1,0.651,12.9,656478
Developing,71,213,2.77,7.19,89,49.4,0.644,12.7,628961
Developing,70,215,2.9,7.3,9,48.6,0.636,12.4,6775
Developing,69.9,29,3.1,7.61,94,47.8,0.628,12,5971535
Developing,73,24,2.97,7.9,81,47,0.621,11.8,59433
Developing,68.9,219,2.88,8.2,75,46.2,0.615,11.6,595962
Developing,69,218,2.79,8.17,99,45.3,0.607,11.3,5867626
Developing,58.2,32,,,16,24.5,0.582,9.2,1175389
Developing,57.9,32,0.01,3.8,2,24,0.582,9.2,1129424
Developing,57.4,327,10.72,3.73,,23.5,0.586,9.2,183746
Developing,56.7,337,11.89,4,,23,0.583,9.2,138593
Developing,56.2,344,10.99,3.29,,22.6,0.58,9.2,99429
Developing,56.1,339,9.93,3.84,,22.1,0.589,9.2,95114
Developing,55.7,34,7.97,5.32,,21.7,0.59,9.1,99111
